# Time(sec)	Temperature(K)
276.223915	180.052000
277.224164	180.047000
278.344245	180.042000
279.224397	180.038000
280.224790	180.033000
281.224579	180.027000
282.225152	180.022000
283.395526	180.017000
284.225453	180.013000
285.225733	180.009000
286.225984	180.003000
287.225950	179.999000
288.266405	179.995000
289.226488	179.990000
290.226571	179.987000
291.227223	179.981000
292.227132	179.977000
293.397452	179.971000
294.227458	179.969000
295.237570	179.965000
296.227969	179.961000
297.228039	179.958000
298.418464	179.954000
299.238291	179.951000
300.062159	179.951000
